COMMAND,MAJOR,MINOR,GROUP
PERF_RES_DRAM_CM_MGR_DSU_LMODE,4,4,6
PERF_RES_DRAM_CM_MGR_DRAM_OPP_FLOOR,4,4,7
PERF_RES_DRAM_CM_MGR_DRAM_OPP_CEIL,4,4,8
PERF_RES_DRAM_DVFS_QOS_MODE,4,4,9
PERF_RES_DRAM_CM_MGR_MAP_DRAM_OPP,4,4,10
PERF_RES_DRAM_CM_RATIO_UP_X_0,4,5,0
PERF_RES_DRAM_CM_RATIO_UP_X_1,4,5,1
PERF_RES_DRAM_CM_RATIO_UP_X_2,4,5,2
PERF_RES_DRAM_CM_RATIO_UP_X_3,4,5,3
PERF_RES_DRAM_CM_RATIO_UP_X_4,4,5,4
PERF_RES_DRAM_CM_PASSIVE,4,5,5
PERF_RES_DRAM_CM_PERF_MODE_ENABLE,4,5,6
PERF_RES_DRAM_CM_PERF_MODE_CEILING_OPP,4,5,7
PERF_RES_DRAM_CM_PERF_MODE_THD,4,5,8
PERF_RES_DRAM_CM_THERMAL_HINT,4,5,9
PERF_RES_DRAM_VM_SWAPINESS              ,4,11,0
PERF_RES_DRAM_VM_DROP_CACHES            ,4,11,1
PERF_RES_DRAM_VM_WATERMARK_EXTRAKBYTESADJ,4,11,2
PERF_RES_DRAM_VM_WATERMARK_SCALEFACTOR,4,11,3
PERF_RES_DRAM_LMK_KILL_TIMEOUT,4,12,0
PERF_RES_DRAM_LMK_KILL_HEAVIEST_TASK,4,12,1
PERF_RES_DRAM_LMK_RELEASE_MEM,4,12,2
PERF_RES_DRAM_LMK_THRASHING_LIMIT,4,12,3
PERF_RES_DRAM_LMK_SWAP_FREE_LOW_PERCENT,4,12,4
PERF_RES_DRAM_LMK_MINFREE_SCALEFACTOR,4,12,5
PERF_RES_DRAM_DURASPEED_CPUTHRESHOLD,4,21,0
PERF_RES_DRAM_DURASPEED_CPUTARGET,4,21,1
PERF_RES_DRAM_DURASPEED_POLICYLEVEL,4,21,2
PERF_RES_DRAM_DVFS_QOSMM_MODE,4,22,0
PERF_RES_SCHED_BOOST_VALUE_ROOT,5,0,0
PERF_RES_SCHED_BOOST_VALUE_FG,5,0,1
PERF_RES_SCHED_BOOST_VALUE_BG,5,0,2
PERF_RES_SCHED_BOOST_VALUE_TA,5,0,3
PERF_RES_SCHED_BOOST_VALUE_RT,5,0,4
PERF_RES_SCHED_PREFER_IDLE_ROOT,5,1,0
PERF_RES_SCHED_PREFER_IDLE_FG,5,1,1
PERF_RES_SCHED_PREFER_IDLE_BG,5,1,2
PERF_RES_SCHED_PREFER_IDLE_TA,5,1,3
PERF_RES_SCHED_PREFER_IDLE_RT,5,1,4
PERF_RES_SCHED_PREFER_IDLE_PER_TASK,5,1,5
PERF_RES_SCHED_PREFER_IDLE_SYS,5,1,6
PERF_RES_SCHED_PREFER_IDLE_SYSBG,5,1,7
PERF_RES_SCHED_UCLAMP_MIN_ROOT,5,2,0
PERF_RES_SCHED_UCLAMP_MIN_FG,5,2,1
PERF_RES_SCHED_UCLAMP_MIN_BG,5,2,2
PERF_RES_SCHED_UCLAMP_MIN_TA,5,2,3
PERF_RES_SCHED_UCLAMP_MIN_RT,5,2,4
PERF_RES_SCHED_UCLAMP_MIN_SYS,5,2,5
PERF_RES_SCHED_UCLAMP_MAX_ROOT,5,2,6
PERF_RES_SCHED_UCLAMP_MAX_FG,5,2,7
PERF_RES_SCHED_UCLAMP_MAX_BG,5,2,8
PERF_RES_SCHED_UCLAMP_MAX_TA,5,2,9
PERF_RES_SCHED_UCLAMP_MAX_RT,5,2,10
PERF_RES_SCHED_UCLAMP_MAX_SYS,5,2,11
PERF_RES_SCHED_UCLAMP_MIN_SYSBG,5,2,12
PERF_RES_SCHED_UCLAMP_MAX_SYSBG,5,2,13
PERF_RES_SCHED_TUNE_THRES,5,3,0
PERF_RES_SCHED_BOOST,5,4,0
PERF_RES_SCHED_MIGRATE_COST,5,5,0
PERF_RES_SCHED_CPU_PREFER_TASK_1_BIG,5,6,0
PERF_RES_SCHED_CPU_PREFER_TASK_1_LITTLE,5,6,1
PERF_RES_SCHED_CPU_PREFER_TASK_1_RESERVED,5,6,2
PERF_RES_SCHED_CPU_PREFER_TASK_2_BIG,5,6,3
PERF_RES_SCHED_CPU_PREFER_TASK_2_LITTLE,5,6,4
PERF_RES_SCHED_CPU_PREFER_TASK_2_RESERVED,5,6,5
PERF_RES_SCHED_CPUSET_TA,5,6,6
PERF_RES_SCHED_BTASK_ROTATE,5,7,0
PERF_RES_SCHED_CACHE_AUDIT,5,8,0
PERF_RES_SCHED_CACHE_PART_CTRL,5,8,1
PERF_RES_SCHED_CACHE_SET_CT_ROOT,5,8,2
PERF_RES_SCHED_CACHE_SET_CT_TA,5,8,3
PERF_RES_SCHED_CACHE_SET_CT_FG,5,8,4
PERF_RES_SCHED_CACHE_SET_CT_BG,5,8,5
PERF_RES_SCHED_CACHE_SET_CT_SYSBG,5,8,6
PERF_RES_SCHED_CACHE_SET_CT_RT,5,8,7
PERF_RES_SCHED_CACHE_SET_CT_SYS,5,8,8
PERF_RES_SCHED_CACHE_SET_CT_TASK,5,8,9
PERF_RES_SCHED_CACHE_SET_NCT_TASK,5,8,10
PERF_RES_SCHED_CACHE_CPUQOS_MODE,5,8,11
PERF_RES_SCHED_PLUS_DOWN_THROTTLE_NS,5,9,0
PERF_RES_SCHED_PLUS_UP_THROTTLE_NS,5,9,1
PERF_RES_SCHED_PLUS_SYNC_FLAG,5,9,2
PERF_RES_SCHED_PLUS_DOWN_THROTTLE_US,5,9,3
PERF_RES_SCHED_PLUS_UP_THROTTLE_US,5,9,4
PERF_RES_SCHED_MTK_PREFER_IDLE,5,10,0
PERF_RES_SCHED_HEAVY_TASK_THRES,5,11,0
PERF_RES_SCHED_HEAVY_TASK_AVG_HTASK_AC,5,11,1
PERF_RES_SCHED_HEAVY_TASK_AVG_HTASK_THRES,5,11,2
PERF_RES_SCHED_WALT,5,12,0
PERF_RES_SCHED_PELT_HALFLIFE,5,12,1
PERF_RES_SCHED_PELT_THROTTLE_MS,5,12,2
PERF_RES_SCHED_PELT_HALFLIFE_HIGH_PRIORITY,5,12,3
PERF_RES_SCHED_PREFER_CPU_ROOT,5,13,0
PERF_RES_SCHED_PREFER_CPU_FG,5,13,1
PERF_RES_SCHED_PREFER_CPU_BG,5,13,2
PERF_RES_SCHED_PREFER_CPU_TA,5,13,3
PERF_RES_SCHED_PREFER_CPU_RT,5,13,4
PERF_RES_SCHED_PREFER_CPU_SYSBG,5,13,5
PERF_RES_SCHED_UTIL_RATE_LIMIT_US_CLUSTER_0,5,14,0
PERF_RES_SCHED_UTIL_RATE_LIMIT_US_CLUSTER_1,5,14,1
PERF_RES_SCHED_UTIL_RATE_LIMIT_US_CLUSTER_2,5,14,2
PERF_RES_SCHED_UTIL_UP_RATE_LIMIT_US_CLUSTER_0,5,14,3
PERF_RES_SCHED_UTIL_UP_RATE_LIMIT_US_CLUSTER_1,5,14,4
PERF_RES_SCHED_UTIL_UP_RATE_LIMIT_US_CLUSTER_2,5,14,5
PERF_RES_SCHED_UTIL_DOWN_RATE_LIMIT_US_CLUSTER_0,5,14,6
PERF_RES_SCHED_UTIL_DOWN_RATE_LIMIT_US_CLUSTER_1,5,14,7
PERF_RES_SCHED_UTIL_DOWN_RATE_LIMIT_US_CLUSTER_2,5,14,8
PERF_RES_SCHED_ISOLATION_CPU,5,15,0
PERF_RES_SCHED_CORE_CTL_POLICY_ENABLE,5,15,1
PERF_RES_SCHED_OFFLINE_THROTTLE_MS_CLUSTER_0,5,15,2
PERF_RES_SCHED_OFFLINE_THROTTLE_MS_CLUSTER_1,5,15,3
PERF_RES_SCHED_OFFLINE_THROTTLE_MS_CLUSTER_2,5,15,4
PERF_RES_SCHED_BTASK_UP_THRESH_CLUSTER_0,5,15,5
PERF_RES_SCHED_BTASK_UP_THRESH_CLUSTER_1,5,15,6
PERF_RES_SCHED_CPU_CORE_NOT_PREFERRED,5,15,7
PERF_RES_SCHED_CORE_CTL_CPU_BUSY_THRES_0,5,15,8
PERF_RES_SCHED_CORE_CTL_CPU_BUSY_THRES_1,5,15,9
PERF_RES_SCHED_CORE_CTL_CPU_BUSY_THRES_2,5,15,10
PERF_RES_SCHED_CORE_CTL_THERMAL_UP_THRES_CLUSTER_0,5,15,11
PERF_RES_SCHED_CORE_CTL_THERMAL_UP_THRES_CLUSTER_1,5,15,12
PERF_RES_SCHED_BTASK_UP_THRESH_CLUSTER_2,5,15,13
PERF_RES_SCHED_CORE_CTL_THERMAL_UP_THRES_CLUSTER_2,5,15,14
PERF_RES_SCHED_CORE_CTL_CPU_NONBUSY_THRES_0,5,15,15
PERF_RES_SCHED_CORE_CTL_CPU_NONBUSY_THRES_1,5,15,16
PERF_RES_SCHED_CORE_CTL_CPU_NONBUSY_THRES_2,5,15,17
PERF_RES_SCHED_CORE_CTL_NR_TASK_THRES_0,5,15,18
PERF_RES_SCHED_CORE_CTL_NR_TASK_THRES_1,5,15,19
PERF_RES_SCHED_CORE_CTL_NR_TASK_THRES_2,5,15,20
PERF_RES_SCHED_CORE_CTL_FREQ_MIN_THRES_0,5,15,21
PERF_RES_SCHED_CORE_CTL_FREQ_MIN_THRES_1,5,15,22
PERF_RES_SCHED_CORE_CTL_FREQ_MIN_THRES_2,5,15,23
PERF_RES_SCHED_CORE_CTL_ACT_LOAD_THRES_0,5,15,24
PERF_RES_SCHED_CORE_CTL_ACT_LOAD_THRES_1,5,15,25
PERF_RES_SCHED_CORE_CTL_ACT_LOAD_THRES_2,5,15,26
PERF_RES_SCHED_CORE_CTL_RT_NR_TASK_THRES_0,5,15,27
PERF_RES_SCHED_CORE_CTL_RT_NR_TASK_THRES_1,5,15,28
PERF_RES_SCHED_CORE_CTL_RT_NR_TASK_THRES_2,5,15,29
PERF_RES_SCHED_NEWLY_IDLE_BALANCE_INTERVAL,5,16,0
PERF_RES_SCHED_THERMAL_HEADROOM_INTERVAL_TICK,5,16,1
PERF_RES_SCHED_SYSTEM_MASK,5,16,2
PERF_RES_SCHED_GAS_ENABLE,5,16,3
PERF_RES_SCHED_GAS_THRESHOLD,5,16,4
PERF_RES_SCHED_SBB_ALL_SET,5,17,0
PERF_RES_SCHED_SBB_ALL_UNSET,5,17,1
PERF_RES_SCHED_SBB_GROUP_SET,5,17,2
PERF_RES_SCHED_SBB_GROUP_UNSET,5,17,3
PERF_RES_SCHED_SBB_TASK_SET,5,17,4
PERF_RES_SCHED_SBB_TASK_UNSET,5,17,5
PERF_RES_SCHED_SBB_ACTIVE_RATIO,5,17,6
PERF_RES_SCHED_TASK_IDLE_PREFER_SET,5,17,7
PERF_RES_SCHED_UTIL_EST_CONTROL,5,17,8
PERF_RES_SCHED_TARGET_FREQ_C0,5,17,9
PERF_RES_SCHED_TARGET_MARGIN_C0,5,17,10
PERF_RES_SCHED_TARGET_FREQ_C1,5,17,11
PERF_RES_SCHED_TARGET_MARGIN_C1,5,17,12
PERF_RES_SCHED_TARGET_FREQ_C2,5,17,13
PERF_RES_SCHED_TARGET_MARGIN_C2,5,17,14
PERF_RES_SCHED_TA_MASK,5,18,0
PERF_RES_SCHED_FG_MASK,5,18,1
PERF_RES_SCHED_BG_MASK,5,18,2
PERF_RES_SCHED_TASK_LS_SET,5,18,3
PERF_RES_SCHED_IGNORE_IDLE_UTIL_CTRL,5,19,0
PERF_RES_SCHED_TASK_VIP_SET,5,20,0
PERF_RES_SCHED_TA_VIP_SET,5,20,1
PERF_RES_SCHED_FG_VIP_SET,5,20,2
PERF_RES_SCHED_BG_VIP_SET,5,20,3
PERF_RES_SCHED_LS_VIP_SET,5,20,4
PERF_RES_SCHED_GEAR_MIGR_DN_PCT,5,21,0
PERF_RES_SCHED_GEAR_MIGR_UP_PCT,5,21,1
PERF_RES_SCHED_GEAR_MIGR_SET,5,21,2
PERF_RES_SCHED_TASK_GEAR_HINTS_START,5,22,0
PERF_RES_SCHED_TASK_GEAR_HINTS_NUM,5,22,1
PERF_RES_SCHED_TASK_GEAR_HINTS_REVERSE,5,22,2
PERF_RES_SCHED_TASK_GEAR_HINTS_SET,5,22,3
PERF_RES_SCHED_CPUQOS_USER_GROUP_1,5,23,0
PERF_RES_SCHED_CPUQOS_USER_GROUP_2,5,23,1
PERF_RES_SCHED_CPUQOS_USER_GROUP_3,5,23,2
PERF_RES_SCHED_CPUQOS_USER_GROUP_4,5,23,3
PERF_RES_SCHED_CPUQOS_USER_GROUP_5,5,23,4
PERF_RES_SCHED_CPUQOS_USER_GROUP_6,5,23,5
PERF_RES_SCHED_CPUQOS_CCL_TO_USER_GROUP_1,5,24,0
PERF_RES_SCHED_CPUQOS_CCL_TO_USER_GROUP_2,5,24,1
PERF_RES_SCHED_CPUQOS_CCL_TO_USER_GROUP_3,5,24,2
PERF_RES_SCHED_CPUQOS_CCL_TO_USER_GROUP_4,5,24,3
PERF_RES_SCHED_CPUQOS_CCL_TO_USER_GROUP_5,5,24,4
PERF_RES_SCHED_CPUQOS_CCL_TO_USER_GROUP_6,5,24,5
PERF_RES_SCHED_DPT_CTRL,5,25,0
PERF_RES_SCHED_RUNNABLE_BOOST,5,26,0
PERF_RES_SCHED_DSU_IDLE,5,27,0
PERF_RES_AI_VPU_FREQ_MIN_CORE_0,6,0,0
PERF_RES_AI_VPU_FREQ_MIN_CORE_1,6,0,1
PERF_RES_AI_VPU_FREQ_MAX_CORE_0,6,1,0
PERF_RES_AI_VPU_FREQ_MAX_CORE_1,6,1,1
PERF_RES_AI_MDLA_FREQ_MIN,6,2,0
PERF_RES_AI_MDLA_FREQ_MAX,6,3,0
PERF_RES_AI_APUSYS_BOOST_IPU_IF,6,4,0
PERF_RES_POWER_CPUFREQ_HISPEED_FREQ,7,0,0
PERF_RES_POWER_CPUFREQ_MIN_SAMPLE_TIME,7,1,0
PERF_RES_POWER_CPUFREQ_ABOVE_HISPEED_DELAY,7,2,0
PERF_RES_POWER_CPUFREQ_POWER_MODE,7,3,0
PERF_RES_POWER_HPS_THRESH_UP,7,4,0
PERF_RES_POWER_HPS_THRESH_DOWN,7,4,1
PERF_RES_POWER_HPS_TIMES_UP,7,5,0
PERF_RES_POWER_HPS_TIMES_DOWN,7,5,1
PERF_RES_POWER_HPS_RUSH_BOOST_ENABLE,7,6,0
PERF_RES_POWER_HPS_RUSH_BOOST_THRESH,7,6,1
PERF_RES_POWER_HPS_HEAVY_TASK,7,7,0
PERF_RES_POWER_HPS_POWER_MODE,7,8,0
PERF_RES_POWER_PPM_ROOT_CLUSTER,7,9,0
PERF_RES_POWER_PPM_MODE,7,10,0
PERF_RES_POWER_PPM_HICA_VAR,7,11,0
PERF_RES_POWER_PPM_LIMIT_BIG,7,12,0
PERF_RES_POWER_PPM_SPORTS_MODE,7,13,0
PERF_RES_POWER_PPM_USERLIMIT_BOOST,7,14,0
PERF_RES_POWER_CPUIDLE_MCDI_ENABLE,7,15,0
PERF_RES_PM_QOS_CPUIDLE_MCDI_ENABLE,7,15,1
PERF_RES_PM_QOS_CPU_DMA_LATENCY_VALUE,7,15,2
PERF_RES_POWER_SYSLIMITER_60,7,16,0
PERF_RES_POWER_SYSLIMITER_90,7,16,1
PERF_RES_POWER_SYSLIMITER_120,7,16,2
PERF_RES_POWER_SYSLIMITER_144,7,16,3
PERF_RES_POWER_SYSLIMITER,7,16,4
PERF_RES_POWER_SYSLIMITER_DISABLE,7,17,0
PERF_RES_POWER_SYSLIMITER_TARGET_FPS_TOLERANCE_PERCENT,7,17,1
PERF_RES_POWER_MPMM_ENABLE,7,18,0
PERF_RES_POWER_THROTTLE_ENABLE,7,19,0
PERF_RES_FPS_FSTB_FPS_LOWER,8,0,0
PERF_RES_FPS_FSTB_FPS_UPPER,8,0,1
PERF_RES_FPS_FSTB_TARGET_FPS_PID,8,0,2
PERF_RES_FPS_FPSGO_NOCTL,8,0,3
PERF_RES_FPS_FPSGO_CTL,8,0,4
PERF_RES_FPS_FPSGO_RENDER_PID,8,0,5
PERF_RES_FPS_FPSGO_ENABLE,8,1,0
PERF_RES_FPS_FPSGO_FORCE_ONOFF,8,1,1
PERF_RES_FPS_FPSGO_STOP_BOOST,8,1,2
PERF_RES_FPS_FPSGO_CONTROL,8,1,3
PERF_RES_FPS_FPSGO_BYPASS_NONSF,8,1,4
PERF_RES_FPS_FPSGO_CONTROL_API_MASK,8,1,5
PERF_RES_FPS_FPSGO_CONTROL_HWUI,8,1,6
PERF_RES_FPS_FPSGO_CONTROL_BY_PID,8,1,7
PERF_RES_FPS_FPSGO_BYPASS_NONSF_BY_PID,8,1,8
PERF_RES_FPS_FPSGO_CONTROL_API_MASK_BY_PID,8,1,9
PERF_RES_FPS_FPSGO_CONTROL_HWUI_BY_PID,8,1,10
PERF_RES_FPS_FPSGO_CAM_FPS_MARGIN_BY_PID,8,1,11
PERF_RES_FPS_FPSGO_CAM_TIME_RATIO_BY_PID,8,1,12
PERF_RES_FPS_FPSGO_DEP_LOADING_THR_BY_PID,8,1,13
PERF_RES_FPS_FPSGO_CONTROL_MFRC_ACTIVE,8,1,14
PERF_RES_FPS_FPSGO_CAM_WINDOW_MS_BY_PID,8,1,15
PERF_RES_FPS_FPSGO_DETECT_FRAME_INTERPOLATE,8,1,16
PERF_RES_FPS_FSTB_FORCE_VAG,8,2,0
PERF_RES_FPS_FSTB_JUMP_CHECK_NUM,8,2,1
PERF_RES_FPS_FSTB_JUMP_CHECK_Q_PCT,8,2,2
PERF_RES_FPS_FSTB_ADOPT_LOW_FPS,8,2,3
PERF_RES_FPS_FPSGO_CAM,8,2,4
PERF_RES_FPS_CAM_ACTIVE_FPSGO_OFF,8,2,5
PERF_RES_FPS_FBT_SHORT_RESCUE_NS,8,3,0
PERF_RES_FPS_FBT_MIN_RESCUE_PERCENT,8,3,1
PERF_RES_FPS_FBT_RESCUE_PERCENT_90,8,3,2
PERF_RES_FPS_FBT_RESCUE_PERCENT_120,8,3,3
PERF_RES_FPS_FBT_SHORT_MIN_RESCUE_P,8,3,4
PERF_RES_FPS_FBT_DEQTIME_BOUND,8,4,0
PERF_RES_FPS_FBT_FLOOR_BOUND,8,5,0
PERF_RES_FPS_FBT_KMIN,8,6,0
PERF_RES_FPS_FBT_VARIANCE,8,6,1
PERF_RES_FPS_FSTB_SOFT_FPS_LOWER,8,7,0
PERF_RES_FPS_FSTB_SOFT_FPS_UPPER,8,7,1
PERF_RES_FPS_FBT_BHR_OPP,8,8,0
PERF_RES_FPS_FBT_BHR_OPP_L,8,8,1
PERF_RES_FPS_FBT_BHR,8,9,0
PERF_RES_FPS_EARA_BENCH,8,10,0
PERF_RES_FPS_FPSGO_GPU_BLOCK_BOOST,8,11,0
PERF_RES_FPS_FBT_BOOST_TA,8,12,0
PERF_RES_FPS_FPSGO_MARGIN_MODE,8,13,0
PERF_RES_FPS_FPSGO_MARGIN_MODE_DBNC_A,8,13,1
PERF_RES_FPS_FPSGO_MARGIN_MODE_DBNC_B,8,13,2
PERF_RES_FPS_FSTB_TARGET_FPS_MARGIN,8,13,3
PERF_RES_FPS_EARA_THERMAL_ENABLE,8,14,0
PERF_RES_FPS_FBT_RESCUE_F,8,15,0
PERF_RES_FPS_FBT_RESCUE_PERCENT,8,15,1
PERF_RES_FPS_FBT_ULTRA_RESCUE,8,15,2
PERF_RES_FPS_FBT_RESCUE_C,8,15,3
PERF_RES_FPS_FBT_RESCUE_CHECK,8,15,4
PERF_RES_FPS_FBT_RESCUE_SECOND_ENABLE,8,15,5
PERF_RES_FPS_FBT_RESCUE_SECOND_TIME,8,15,6
PERF_RES_FPS_FBT_RESCUE_SECOND_GROUP,8,15,7
PERF_RES_FPS_FBT_RESCUE_SECOND_RESCUE_F,8,15,8
PERF_RES_FPS_FBT_RESCUE_F_OPP,8,15,9
PERF_RES_FPS_FBT_RESCUE_SECOND_GAME_ENABLE,8,15,10
PERF_RES_FPS_FBT_RESCUE_SECOND_ENABLE_BY_PID,8,15,11
PERF_RES_FPS_FBT_RESCUE_ENABLE,8,15,12
PERF_RES_FPS_FBT_RESCUE_ENABLE_BY_PID,8,15,13
PERF_RES_FPS_FBT_CHECK_BUFFER_QUOTA_BY_PID,8,15,14
PERF_RES_FPS_FBT_BOOST_VIP,8,15,15
PERF_RES_FPS_FBT_BOOST_VIP_BY_PID,8,15,16
PERF_RES_FPS_FBT_RTPRIO1,8,15,17
PERF_RES_FPS_FBT_RTPRIO1_BY_PID,8,15,18
PERF_RES_FPS_FBT_RTPRIO2,8,15,19
PERF_RES_FPS_FBT_RTPRIO2_BY_PID,8,15,20
PERF_RES_FPS_FBT_RTPRIO3,8,15,21
PERF_RES_FPS_FBT_RTPRIO3_BY_PID,8,15,22
PERF_RES_FPS_FBT_GROUP_BY_LR,8,15,23
PERF_RES_FPS_FBT_GROUP_BY_LR_BY_PID,8,15,24
PERF_RES_FPS_FBT_HEAVY_NUM,8,15,25
PERF_RES_FPS_FBT_HEAVY_NUM_BY_PID,8,15,26
PERF_RES_FPS_FBT_SECOND_NUM,8,15,27
PERF_RES_FPS_FBT_SECOND_NUM_BY_PID,8,15,28
PERF_RES_FPS_FBT_SET_LS,8,15,29
PERF_RES_FPS_FBT_SET_LS_BY_PID,8,15,30
PERF_RES_FPS_FBT_LS_GROUPMASK,8,15,31
PERF_RES_FPS_FBT_LS_GROUPMASK_BY_PID,8,15,32
PERF_RES_FPS_FBT_VIP_MASK,8,15,33
